Length,Width,Volume
29.8,26.8,"3,515"
34.6,30.2,"5,235"
34.8,30.3,"5,045"
35.2,30.7,"5,317"
31.5,26.0,"3,609"
35.2,31.1,"5,350"
34.2,30.1,"4,993"
34.3,30.1,"4,619"
36.0,31.1,"5,667"
50.3,43.4,"14,462"
42.7,35.9,"8,873"
45.2,37.8,"10,393"
43.3,36.7,"9,147"
50.9,45.5,"15,275"
51.4,40.8,"14,024"
46.7,38.8,"11,555"
45.2,39.0,"10,480"
43.0,36.1,"8,784"
44.0,39.6,"10,005"
51.1,42.0,"14,244"
50.0,40.9,"13,488"
48.2,38.9,"12,335"
50.5,41.7,"14,418"
56.8,47.8,"20,191"
51.6,43.3,"15,200"
51.0,41.1,"14,066"
50.4,42.8,"14,416"
48.8,41.8,"12,767"
56.9,49.9,"20,743"
57.7,51.4,"21,249"
57.1,51.0,"21,567"
49.7,44.2,"14,122"
59.8,51.3,"23,821"
51.7,48.1,"15,745"
66.7,58.7,"34,150"
52.2,45.7,"16,402"
55.4,46.9,"19,119"
56.2,48.3,"20,004"
